date,login_count,active_users,emails_sent,campaigns_created,automation_workflows,api_calls,feature_usage_score,time_spent_minutes
2024-01-01,45,12,2500,8,15,1250,85,480
2024-01-02,52,15,2800,6,12,1400,88,520
2024-01-03,48,14,2600,7,13,1300,86,500
2024-01-04,55,16,3000,9,16,1500,90,550
2024-01-05,50,13,2700,5,11,1350,87,510
2024-01-08,42,11,2200,4,8,1100,82,420
2024-01-09,38,10,2000,3,7,1000,78,380
2024-01-10,35,9,1800,2,6,900,75,350
2024-01-11,32,8,1600,1,5,800,72,320
2024-01-12,30,7,1500,1,4,750,70,300
2024-01-15,28,6,1400,1,3,700,68,280
2024-01-16,25,5,1200,0,2,600,65,250
2024-01-17,22,4,1000,0,1,500,62,220
2024-01-18,20,3,800,0,0,400,60,200
2024-01-19,18,2,600,0,0,300,58,180
2024-01-22,15,1,400,0,0,200,55,150
2024-01-23,12,1,300,0,0,150,52,120
2024-01-24,10,1,200,0,0,100,50,100
2024-01-25,8,1,150,0,0,75,48,80
2024-01-26,6,1,100,0,0,50,45,60
2024-01-29,5,1,75,0,0,40,42,50
2024-01-30,4,1,50,0,0,25,40,40
2024-01-31,3,1,25,0,0,15,38,30
2024-02-01,2,1,15,0,0,10,35,20
2024-02-02,1,1,10,0,0,5,32,15
2024-02-05,1,1,5,0,0,3,30,10
2024-02-06,0,0,0,0,0,0,25,0
2024-02-07,0,0,0,0,0,0,20,0
2024-02-08,0,0,0,0,0,0,15,0
2024-02-09,0,0,0,0,0,0,10,0
2024-02-12,0,0,0,0,0,0,5,0
2024-02-13,0,0,0,0,0,0,0,0
2024-02-14,0,0,0,0,0,0,0,0
2024-02-15,0,0,0,0,0,0,0,0
2024-02-16,0,0,0,0,0,0,0,0
2024-02-19,0,0,0,0,0,0,0,0
2024-02-20,0,0,0,0,0,0,0,0
2024-02-21,0,0,0,0,0,0,0,0
2024-02-22,0,0,0,0,0,0,0,0
2024-02-23,0,0,0,0,0,0,0,0
2024-02-26,0,0,0,0,0,0,0,0
2024-02-27,0,0,0,0,0,0,0,0
2024-02-28,0,0,0,0,0,0,0,0
2024-02-29,0,0,0,0,0,0,0,0
