campaign_id,campaign_name,email_sent,email_opened,email_clicked,conversion_rate,revenue_generated,date_sent
CAM001,Welcome Series - Day 1,1500,450,67,4.47,12500,2024-01-15
CAM002,Feature Update - Analytics,1500,375,45,3.00,0,2024-01-20
CAM003,Monthly Newsletter,1500,600,90,6.00,0,2024-02-01
CAM004,Product Demo Invitation,1500,225,34,2.27,0,2024-02-10
CAM005,Customer Success Story,1500,450,68,4.53,0,2024-02-15
CAM006,Webinar Invitation,1500,300,45,3.00,0,2024-02-20
CAM007,Feature Announcement,1500,375,56,3.73,0,2024-03-01
CAM008,Case Study - ROI,1500,525,79,5.27,0,2024-03-10
CAM009,Best Practices Guide,1500,450,68,4.53,0,2024-03-15
CAM010,Quarterly Review,1500,600,90,6.00,0,2024-03-20
CAM011,Product Update - Q1,1500,300,30,2.00,0,2024-04-01
CAM012,Customer Feedback Request,1500,225,22,1.47,0,2024-04-05
CAM013,Feature Training Webinar,1500,180,18,1.20,0,2024-04-10
CAM014,Success Metrics Report,1500,150,15,1.00,0,2024-04-15
CAM015,Renewal Reminder,1500,120,12,0.80,0,2024-04-20
