ticket_id,ticket_type,priority,status,subject,description,sentiment_score,created_date,resolved_date,resolution_time_hours,assigned_to
TKT002,Feature Request,Medium,Open,Need advanced segmentation options,We need more granular segmentation options for our email campaigns. Current options are too basic for our needs.,0.2,2024-01-15,2024-01-20,120,Sarah Johnson
TKT005,Feature Request,Low,Open,Request for API rate limit increase,We need higher API rate limits for our integration. Current limits are too restrictive.,0.1,2024-01-25,2024-02-05,264,Sarah Johnson
TKT008,Technical Issue,Medium,Resolved,Integration with Salesforce failing,Our Salesforce integration is not syncing contact data properly. Missing 200+ contacts.,-0.5,2024-02-05,2024-02-08,72,Sarah Johnson
TKT011,Complaint,Medium,Open,Documentation is outdated,The API documentation is outdated and missing key endpoints. Need updated docs ASAP.,-0.4,2024-02-15,2024-02-25,240,Sarah Johnson
TKT014,Technical Issue,Medium,Resolved,Email template editor bug,Email template editor is not saving changes properly. Lost 3 hours of work.,-0.7,2024-02-25,2024-02-27,48,Sarah Johnson
TKT017,Feature Request,Medium,Open,Request for A/B testing improvements,Current A/B testing features are too basic. Need more advanced statistical analysis.,0.1,2024-03-05,2024-03-15,240,Sarah Johnson
TKT020,Feature Request,Low,Open,Request for custom reporting,Need custom reporting capabilities that our current plan doesn't include.,0.2,2024-03-12,2024-03-25,312,Sarah Johnson
TKT024,Technical Issue,High,Open,API authentication errors,Our API keys are being rejected intermittently. This is causing our integrations to fail.,-0.6,2024-03-22,2024-04-01,240,Sarah Johnson
TKT025,Complaint,Medium,Open,Slow response times,API response times have increased significantly over the past month. This is affecting our application performance.,-0.5,2024-03-25,2024-04-05,264,Sarah Johnson
TKT026,Feature Request,High,Open,Request for webhook support,We need webhook support for real-time data synchronization. This is critical for our use case.,0.3,2024-03-28,2024-04-10,312,Sarah Johnson
