ticket_id,ticket_type,priority,status,subject,description,sentiment_score,created_date,resolved_date,resolution_time_hours,assigned_to
TKT001,Technical Issue,High,Resolved,Email automation not triggering,Our email automation workflows are not triggering as scheduled. This is affecting our lead nurturing campaigns.,-0.8,2024-01-10,2024-01-12,48,John Smith
TKT004,Technical Issue,Medium,Resolved,Analytics dashboard loading slowly,The analytics dashboard takes over 30 seconds to load. This is impacting our daily reporting.,-0.6,2024-01-22,2024-01-25,72,John Smith
TKT007,Complaint,High,Open,Poor customer support response time,It takes too long to get responses from support. We need faster resolution times.,-0.9,2024-02-01,2024-02-10,216,John Smith
TKT010,Technical Issue,High,Resolved,Data export functionality broken,Cannot export campaign data to CSV. Getting error message when trying to download reports.,-0.6,2024-02-12,2024-02-14,48,John Smith
TKT013,Feature Request,Low,Open,Request for white-label options,Need white-label options for our client-facing campaigns. Current branding is too prominent.,0.2,2024-02-20,2024-03-05,336,John Smith
TKT016,Technical Issue,High,Open,Performance issues during peak hours,System becomes very slow during business hours. Response times are unacceptable.,-0.8,2024-03-01,2024-03-10,216,John Smith
TKT019,Technical Issue,Medium,Resolved,Data backup issues,Cannot access our backup data. Need to restore from last week's backup.,-0.5,2024-03-10,2024-03-12,48,John Smith
TKT021,Technical Issue,High,Open,API integration failing,Our custom API integration is failing intermittently. This is critical for our daily operations.,-0.7,2024-03-15,2024-03-25,240,John Smith
TKT022,Complaint,Medium,Open,Feature limitations,The current feature set is too limited for our enterprise needs. We need more advanced capabilities.,-0.4,2024-03-18,2024-03-28,240,John Smith
TKT023,Technical Issue,High,Open,Login authentication errors,Multiple team members are experiencing login issues. This is blocking our work.,-0.8,2024-03-20,2024-03-22,48,John Smith
