campaign_id,campaign_name,email_sent,email_opened,email_clicked,conversion_rate,revenue_generated,date_sent
CAM001,Welcome Series - Day 1,800,240,38,4.75,8500,2024-01-15
CAM002,Feature Update - Analytics,800,160,12,1.50,0,2024-01-20
CAM003,Monthly Newsletter,800,320,48,6.00,0,2024-02-01
CAM004,Product Demo Invitation,800,120,18,2.25,0,2024-02-10
CAM005,Customer Success Story,800,240,36,4.50,0,2024-02-15
CAM006,Webinar Invitation,800,160,24,3.00,0,2024-02-20
CAM007,Feature Announcement,800,200,30,3.75,0,2024-03-01
CAM008,Case Study - ROI,800,280,42,5.25,0,2024-03-10
CAM009,Best Practices Guide,800,240,36,4.50,0,2024-03-15
CAM010,Quarterly Review,800,320,48,6.00,0,2024-03-20
CAM011,API Documentation Update,800,180,27,3.38,0,2024-04-01
CAM012,Integration Best Practices,800,160,24,3.00,0,2024-04-05
CAM013,Developer Webinar,800,140,21,2.63,0,2024-04-10
CAM014,Technical Support Guide,800,120,18,2.25,0,2024-04-15
CAM015,Contract Renewal Notice,800,100,15,1.88,0,2024-04-20
