date,login_count,active_users,emails_sent,campaigns_created,automation_workflows,api_calls,feature_usage_score,time_spent_minutes
2024-01-01,25,8,1200,5,8,600,75,300
2024-01-02,28,9,1350,6,9,675,78,330
2024-01-03,30,10,1500,7,10,750,80,360
2024-01-04,32,11,1650,8,11,825,82,390
2024-01-05,35,12,1800,9,12,900,85,420
2024-01-08,22,7,1000,4,6,500,70,240
2024-01-09,20,6,900,3,5,450,68,220
2024-01-10,18,5,800,2,4,400,65,200
2024-01-11,15,4,700,1,3,350,62,180
2024-01-12,12,3,600,1,2,300,60,150
2024-01-15,10,2,500,1,1,250,58,120
2024-01-16,8,2,400,0,1,200,55,100
2024-01-17,6,1,300,0,0,150,52,80
2024-01-18,5,1,250,0,0,125,50,70
2024-01-19,4,1,200,0,0,100,48,60
2024-01-22,3,1,150,0,0,75,45,50
2024-01-23,2,1,100,0,0,50,42,40
2024-01-24,1,1,75,0,0,40,40,30
2024-01-25,1,1,50,0,0,25,38,25
2024-01-26,1,1,25,0,0,15,35,20
2024-01-29,0,0,0,0,0,0,32,0
2024-01-30,0,0,0,0,0,0,30,0
2024-01-31,0,0,0,0,0,0,28,0
2024-02-01,0,0,0,0,0,0,25,0
2024-02-02,0,0,0,0,0,0,22,0
2024-02-05,0,0,0,0,0,0,20,0
2024-02-06,0,0,0,0,0,0,18,0
2024-02-07,0,0,0,0,0,0,15,0
2024-02-08,0,0,0,0,0,0,12,0
2024-02-09,0,0,0,0,0,0,10,0
2024-02-12,0,0,0,0,0,0,8,0
2024-02-13,0,0,0,0,0,0,5,0
2024-02-14,0,0,0,0,0,0,3,0
2024-02-15,0,0,0,0,0,0,0,0
2024-02-16,0,0,0,0,0,0,0,0
2024-02-19,0,0,0,0,0,0,0,0
2024-02-20,0,0,0,0,0,0,0,0
2024-02-21,0,0,0,0,0,0,0,0
2024-02-22,0,0,0,0,0,0,0,0
2024-02-23,0,0,0,0,0,0,0,0
2024-02-26,0,0,0,0,0,0,0,0
2024-02-27,0,0,0,0,0,0,0,0
2024-02-28,0,0,0,0,0,0,0,0
2024-02-29,0,0,0,0,0,0,0,0
